
-0.050 -0.050 0.000 0.000 500.000 26.000 1663.044 1592.690
-0.040 -0.050 0.000 0.000 409.000 37.000 1673.053 1604.340
-0.030 -0.050 0.000 0.000 492.000 27.000 1694.490 1597.250
-0.020 -0.050 0.000 0.000 659.000 32.000 1627.287 1574.590
-0.010 -0.050 0.000 0.000 453.000 34.000 1658.945 1565.630
0.000 -0.050 0.000 0.000 482.000 35.000 1613.973 1496.270
0.010 -0.050 0.000 0.000 397.000 33.000 1561.636 1454.850
0.020 -0.050 0.000 0.000 783.000 36.000 1489.872 1396.820
0.030 -0.050 0.000 0.000 713.000 35.000 1455.064 1330.660
0.040 -0.050 0.000 0.000 589.000 31.000 1392.396 1276.790
0.050 -0.050 0.000 0.000 884.000 34.000 1349.474 1203.440
0.050 -0.040 0.000 0.000 674.000 33.000 1364.432 1266.710
0.040 -0.040 0.000 0.000 377.000 34.000 1399.135 1294.060
0.030 -0.040 0.000 0.000 586.000 35.000 1478.364 1373.920
0.020 -0.040 0.000 0.000 663.000 33.000 1525.256 1407.460
0.010 -0.040 0.000 0.000 749.000 32.000 1561.482 1520.240
0.000 -0.040 0.000 0.000 942.000 32.000 1620.547 1556.160
-0.010 -0.040 0.000 0.000 452.000 32.000 1663.098 1600.680
-0.020 -0.040 0.000 0.000 419.000 31.000 1684.506 1631.700
-0.030 -0.040 0.000 0.000 1479.000 35.000 1695.972 1634.520
-0.040 -0.040 0.000 0.000 413.000 30.000 1674.230 1636.620
-0.050 -0.040 0.000 0.000 394.000 26.000 1638.225 1634.790
-0.050 -0.030 0.000 0.000 375.000 29.000 1651.119 1617.920
-0.040 -0.030 0.000 0.000 303.000 28.000 1680.222 1630.260
-0.030 -0.030 0.000 0.000 388.000 29.000 1689.364 1643.630
-0.020 -0.030 0.000 0.000 336.000 35.000 1679.168 1636.260
-0.010 -0.030 0.000 0.000 222.000 41.000 1661.760 1592.540
0.000 -0.030 0.000 0.000 471.000 31.000 1620.780 1567.480
0.010 -0.030 0.000 0.000 444.000 33.000 1620.298 1548.650
0.020 -0.030 0.000 0.000 573.000 33.000 1554.186 1479.340
0.030 -0.030 0.000 0.000 1008.000 31.000 1532.033 1460.720
0.040 -0.030 0.000 0.000 585.000 28.000 1472.921 1376.910
0.050 -0.030 0.000 0.000 521.000 33.000 1409.503 1311.380
0.050 -0.020 0.000 0.000 848.000 34.000 1460.960 1350.560
0.040 -0.020 0.000 0.000 657.000 31.000 1537.763 1433.110
0.030 -0.020 0.000 0.000 644.000 27.000 1546.398 1483.860
0.020 -0.020 0.000 0.000 726.000 29.000 1588.580 1514.100
0.010 -0.020 0.000 0.000 368.000 32.000 1639.416 1588.390
0.000 -0.020 0.000 0.000 304.000 33.000 1644.248 1592.260
-0.010 -0.020 0.000 0.000 397.000 28.000 1684.002 1634.730
-0.020 -0.020 0.000 0.000 337.000 33.000 1689.305 1651.030
-0.030 -0.020 0.000 0.000 286.000 36.000 1682.360 1619.560
-0.040 -0.020 0.000 0.000 451.000 37.000 1654.519 1646.700
-0.050 -0.020 0.000 0.000 280.000 32.000 1605.657 1587.480
-0.050 -0.010 0.000 0.000 436.000 29.000 1573.724 1588.640
-0.040 -0.010 0.000 0.000 420.000 31.000 1642.605 1598.410
-0.030 -0.010 0.000 0.000 633.000 32.000 1675.748 1635.760
-0.020 -0.010 0.000 0.000 241.000 26.000 1696.942 1654.080
-0.010 -0.010 0.000 0.000 340.000 31.000 1713.047 1668.810
0.000 -0.010 0.000 0.000 677.000 30.000 1702.857 1682.170
0.010 -0.010 0.000 0.000 550.000 30.000 1669.555 1625.120
0.020 -0.010 0.000 0.000 296.000 31.000 1643.561 1615.300
0.030 -0.010 0.000 0.000 630.000 31.000 1608.557 1533.580
0.040 -0.010 0.000 0.000 638.000 29.000 1574.732 1504.180
0.050 -0.010 0.000 0.000 728.000 33.000 1502.355 1439.830
0.050 0.000 0.000 0.000 426.000 31.000 1559.059 1500.730
0.040 0.000 0.000 0.000 678.000 36.000 1591.519 1541.800
0.030 0.000 0.000 0.000 501.000 31.000 1629.540 1567.870
0.020 0.000 0.000 0.000 282.000 34.000 1672.374 1607.920
0.010 0.000 0.000 0.000 384.000 27.000 1700.633 1685.940
0.000 0.000 0.000 0.000 214.000 32.000 1724.676 1672.480
-0.010 0.000 0.000 0.000 377.000 33.000 1726.172 1701.000
-0.020 0.000 0.000 0.000 279.000 34.000 1715.105 1676.550
-0.030 0.000 0.000 0.000 225.000 32.000 1695.692 1657.240
-0.040 0.000 0.000 0.000 430.000 32.000 1651.698 1609.970
-0.050 0.000 0.000 0.000 287.000 33.000 1552.723 1524.240
