-0.090 -0.090 0.000 0.000 142.623 35.500 1803.220 1901.940 0.361 0.359
-0.060 -0.090 0.000 0.000 162.510 39.000 2332.256 2265.370 0.350 0.349
-0.030 -0.090 0.000 0.000 279.687 40.200 2617.770 2570.740 0.346 0.350
0.000 -0.090 0.000 0.000 198.057 45.000 2567.818 2476.220 0.342 0.339
0.030 -0.090 0.000 0.000 216.690 41.700 2159.470 2129.330 0.336 0.337
0.060 -0.090 0.000 0.000 140.627 33.800 1696.518 1623.450 0.333 0.337
0.090 -0.090 0.000 0.000 98.597 78.900 1298.192 1200.570 0.320 0.344
0.090 -0.060 0.000 0.000 205.367 65.900 1458.682 1338.490 0.361 0.343
0.060 -0.060 0.000 0.000 165.323 20.400 1878.252 1778.540 0.359 0.355
0.030 -0.060 0.000 0.000 253.967 46.100 2257.128 2102.390 0.372 0.348
0.000 -0.060 0.000 0.000 234.277 36.600 2544.876 2484.440 0.356 0.354
-0.030 -0.060 0.000 0.000 268.937 39.100 2632.780 2627.500 0.358 0.356
-0.060 -0.060 0.000 0.000 177.493 37.000 2370.468 2450.510 0.357 0.360
-0.090 -0.060 0.000 0.000 193.453 34.200 1912.446 2015.180 0.362 0.359
-0.090 -0.030 0.000 0.000 177.217 34.500 1871.646 1975.910 0.371 0.360
-0.060 -0.030 0.000 0.000 222.813 25.200 2320.288 2344.400 0.355 0.357
-0.030 -0.030 0.000 0.000 325.903 44.600 2536.556 2656.670 0.363 0.361
0.000 -0.030 0.000 0.000 327.417 56.100 2590.540 2638.480 0.357 0.358
0.030 -0.030 0.000 0.000 235.577 48.700 2421.200 2345.390 0.359 0.356
0.060 -0.030 0.000 0.000 184.613 45.800 2061.704 1914.550 0.346 0.348
0.090 -0.030 0.000 0.000 85.017 46.300 1559.434 1480.850 0.325 0.345
0.090 0.000 0.000 0.000 237.483 63.100 1692.408 1593.880 0.360 0.354
0.060 0.000 0.000 0.000 237.833 71.600 2095.050 1997.130 0.375 0.359
0.030 0.000 0.000 0.000 421.270 46.700 2380.866 2329.530 0.374 0.362
0.000 0.000 0.000 0.000 315.553 27.600 2514.096 2581.790 0.368 0.358
-0.030 0.000 0.000 0.000 312.193 26.500 2489.800 2582.900 0.359 0.356
-0.060 0.000 0.000 0.000 225.180 47.900 2339.702 2384.110 0.359 0.361
-0.090 0.000 0.000 0.000 167.020 41.100 1986.336 2047.940 0.357 0.359
-0.090 0.030 0.000 0.000 176.697 44.200 1892.830 1889.700 0.371 0.359
-0.060 0.030 0.000 0.000 246.607 35.000 2227.410 2238.620 0.354 0.357
-0.030 0.030 0.000 0.000 239.647 32.400 2416.088 2478.870 0.360 0.362
0.000 0.030 0.000 0.000 250.897 26.900 2418.488 2455.700 0.363 0.361
0.030 0.030 0.000 0.000 446.627 21.600 2322.856 2289.830 0.357 0.357
0.060 0.030 0.000 0.000 206.000 54.500 2140.782 2044.410 0.342 0.340
0.090 0.030 0.000 0.000 146.693 56.800 1759.174 1654.300 0.322 0.362
0.090 0.060 0.000 0.000 241.660 57.800 1783.622 1698.090 0.373 0.360
0.060 0.060 0.000 0.000 372.123 66.000 1975.174 1977.100 0.387 0.360
0.030 0.060 0.000 0.000 316.277 37.800 2122.482 2157.620 0.382 0.358
0.000 0.060 0.000 0.000 341.403 61.400 2178.126 2276.810 0.369 0.359
-0.030 0.060 0.000 0.000 220.820 34.000 2199.976 2228.800 0.364 0.365
-0.060 0.060 0.000 0.000 237.043 28.400 2043.016 2055.310 0.362 0.360
-0.090 0.060 0.000 0.000 182.970 31.400 1747.136 1820.550 0.360 0.359
-0.090 0.090 0.000 0.000 207.807 41.600 1572.482 1577.920 0.366 0.360
-0.060 0.090 0.000 0.000 160.003 45.500 1850.364 1884.930 0.364 0.356
-0.030 0.090 0.000 0.000 242.130 29.400 2017.634 2039.480 0.354 0.354
0.000 0.090 0.000 0.000 281.507 43.000 2061.410 2108.960 0.355 0.354
0.030 0.090 0.000 0.000 250.343 33.500 2039.970 2068.650 0.353 0.352
0.060 0.090 0.000 0.000 353.807 24.800 1922.370 1945.470 0.340 0.339
0.090 0.090 0.000 0.000 252.043 38.500 1748.188 1714.690 0.319 0.355
