-0.060 -0.060 0.000 0.000 102.130 30.300 2189.084 2181.030 0.353 0.352 0.311 75.237 2184.420
-0.030 -0.060 0.000 0.000 130.457 21.800 2591.856 2540.770 0.345 0.351 0.306 114.997 2589.722
0.000 -0.060 0.000 0.000 261.027 58.600 2606.832 2457.770 0.340 0.351 0.308 131.513 2562.390
0.030 -0.060 0.000 0.000 176.333 33.300 2206.166 2057.360 0.333 0.349 0.311 153.153 2223.976
0.060 -0.060 0.000 0.000 132.250 25.200 1766.932 1598.210 0.333 0.350 0.310 111.163 1717.054
0.060 -0.030 0.000 0.000 235.067 24.800 2079.184 1948.460 0.349 0.351 0.310 185.847 2072.662
0.030 -0.030 0.000 0.000 209.717 25.400 2507.502 2432.210 0.347 0.351 0.314 173.457 2549.746
0.000 -0.030 0.000 0.000 278.560 18.900 2768.738 2733.580 0.355 0.352 0.310 165.527 2795.446
-0.030 -0.030 0.000 0.000 203.040 20.600 2551.240 2511.390 0.358 0.355 0.316 111.243 2553.558
-0.060 -0.030 0.000 0.000 149.837 19.800 1904.134 1948.350 0.367 0.369 0.325 66.410 1950.792
-0.060 0.000 0.000 0.000 126.697 20.800 1770.978 1819.030 0.378 0.372 0.331 81.713 1699.054
-0.030 0.000 0.000 0.000 111.087 19.200 2324.600 2361.810 0.371 0.369 0.327 140.823 2310.116
0.000 0.000 0.000 0.000 107.340 43.900 2790.916 2722.230 0.368 0.369 0.323 109.790 2745.576
0.030 0.000 0.000 0.000 372.570 33.300 2853.292 2869.770 0.368 0.367 0.320 191.730 2860.532
0.060 0.000 0.000 0.000 268.610 46.600 2612.716 2499.410 0.365 0.363 0.325 281.970 2609.128
0.060 0.030 0.000 0.000 315.133 23.600 2733.970 2739.650 0.382 0.370 0.333 363.373 2742.978
0.030 0.030 0.000 0.000 255.187 35.700 2868.342 2873.100 0.376 0.366 0.320 223.667 2896.942
0.000 0.030 0.000 0.000 266.977 39.100 2663.052 2655.190 0.378 0.371 0.318 186.837 2621.734
-0.030 0.030 0.000 0.000 253.737 35.200 2065.760 2093.890 0.379 0.370 0.320 123.703 2047.434
-0.060 0.030 0.000 0.000 160.790 54.000 1408.384 1389.440 0.384 0.373 0.327 122.950 1396.178
-0.060 0.060 0.000 0.000 144.187 55.400 1263.882 1223.360 0.394 0.368 0.320 76.583 1234.274
-0.030 0.060 0.000 0.000 135.020 16.300 1815.256 1813.050 0.395 0.373 0.324 135.197 1741.644
0.000 0.060 0.000 0.000 168.010 46.300 2343.140 2409.170 0.388 0.366 0.319 203.090 2329.386
0.030 0.060 0.000 0.000 190.787 55.200 2722.168 2754.590 0.389 0.371 0.318 193.603 2761.512
0.060 0.060 0.000 0.000 216.523 40.100 2857.204 2792.310 0.388 0.372 0.318 352.727 2853.204
