-0.060 -0.060 0.000 0.000 136.923 48.500 2397.172 2342.290 0.360
-0.040 -0.060 0.000 0.000 176.100 48.500 2649.222 2657.140 0.359
-0.020 -0.060 0.000 0.000 185.777 51.000 2697.774 2670.010 0.352
0.000 -0.060 0.000 0.000 175.080 34.000 2631.366 2557.590 0.349
0.020 -0.060 0.000 0.000 222.450 26.200 2400.046 2242.000 0.346
0.040 -0.060 0.000 0.000 201.677 40.900 2013.800 1973.140 0.342
0.060 -0.060 0.000 0.000 78.867 39.000 1694.598 1566.800 0.328
0.060 -0.040 0.000 0.000 175.223 36.700 1825.498 1712.170 0.342
0.040 -0.040 0.000 0.000 277.573 46.200 2196.208 2051.330 0.347
0.020 -0.040 0.000 0.000 156.980 29.600 2419.698 2343.010 0.354
0.000 -0.040 0.000 0.000 324.167 29.400 2640.392 2581.720 0.357
-0.020 -0.040 0.000 0.000 301.580 45.800 2775.912 2723.130 0.356
-0.040 -0.040 0.000 0.000 191.707 44.100 2675.414 2672.080 0.357
-0.060 -0.040 0.000 0.000 125.280 26.000 2459.342 2420.230 0.361
-0.060 -0.020 0.000 0.000 150.677 39.300 2329.570 2413.100 0.371
-0.040 -0.020 0.000 0.000 251.250 28.800 2561.904 2596.150 0.370
-0.020 -0.020 0.000 0.000 156.303 58.000 2729.088 2720.590 0.369
0.000 -0.020 0.000 0.000 247.627 19.800 2729.408 2694.500 0.366
0.020 -0.020 0.000 0.000 253.367 48.800 2661.356 2644.000 0.367
0.040 -0.020 0.000 0.000 296.030 49.500 2481.780 2313.030 0.361
0.060 -0.020 0.000 0.000 287.750 34.900 2177.628 2002.920 0.354
0.060 0.000 0.000 0.000 262.010 24.300 2280.846 2180.260 0.372
0.040 0.000 0.000 0.000 394.837 56.800 2539.200 2385.280 0.372
0.020 0.000 0.000 0.000 284.640 28.300 2678.740 2667.490 0.379
0.000 0.000 0.000 0.000 294.947 32.500 2786.784 2792.750 0.377
-0.020 0.000 0.000 0.000 320.887 36.100 2685.760 2702.280 0.378
-0.040 0.000 0.000 0.000 275.983 22.300 2509.444 2524.830 0.375
-0.060 0.000 0.000 0.000 182.660 38.700 2082.680 2198.350 0.379
-0.060 0.020 0.000 0.000 263.493 30.700 2046.598 2133.790 0.381
-0.040 0.020 0.000 0.000 176.907 23.500 2304.372 2414.380 0.384
-0.020 0.020 0.000 0.000 353.977 37.600 2572.818 2571.830 0.382
0.000 0.020 0.000 0.000 246.527 56.500 2715.734 2771.160 0.381
0.020 0.020 0.000 0.000 320.677 68.300 2731.146 2755.100 0.388
0.040 0.020 0.000 0.000 388.163 24.600 2652.902 2676.930 0.382
0.060 0.020 0.000 0.000 432.533 21.400 2534.936 2556.090 0.381
0.060 0.040 0.000 0.000 343.250 49.800 2528.034 2536.880 0.390
0.040 0.040 0.000 0.000 400.883 28.000 2655.222 2687.200 0.391
0.020 0.040 0.000 0.000 308.560 52.300 2685.694 2713.000 0.394
0.000 0.040 0.000 0.000 161.750 30.600 2605.414 2591.890 0.395
-0.020 0.040 0.000 0.000 301.450 29.800 2423.404 2460.040 0.388
-0.040 0.040 0.000 0.000 270.997 29.400 2089.042 2118.200 0.398
-0.060 0.040 0.000 0.000 137.033 43.300 1748.382 1758.420 0.395
-0.060 0.060 0.000 0.000 160.930 37.300 1654.286 1616.670 0.404
-0.040 0.060 0.000 0.000 163.017 39.600 1958.170 1903.510 0.399
-0.020 0.060 0.000 0.000 292.877 54.000 2186.480 2188.500 0.395
0.000 0.060 0.000 0.000 199.073 35.400 2432.354 2435.680 0.396
0.020 0.060 0.000 0.000 234.593 52.900 2579.766 2568.080 0.398
0.040 0.060 0.000 0.000 306.667 59.800 2648.548 2688.450 0.407
0.060 0.060 0.000 0.000 298.853 40.500 2633.232 2689.890 0.403
