-0.050 -0.050 460.140
-0.040 -0.050 403.240
-0.030 -0.050 394.500
-0.020 -0.050 367.320
-0.010 -0.050 343.860
0.000 -0.050 297.720
0.010 -0.050 276.720
0.020 -0.050 258.400
0.030 -0.050 246.070
0.040 -0.050 238.490
0.050 -0.050 210.250
0.050 -0.040 218.010
0.040 -0.040 240.460
0.030 -0.040 258.950
0.020 -0.040 256.560
0.010 -0.040 293.240
0.000 -0.040 301.600
-0.010 -0.040 306.430
-0.020 -0.040 344.030
-0.030 -0.040 365.960
-0.040 -0.040 393.330
-0.050 -0.040 416.570
-0.050 -0.030 474.210
-0.040 -0.030 427.520
-0.030 -0.030 381.990
-0.020 -0.030 345.660
-0.010 -0.030 327.240
0.000 -0.030 316.100
0.010 -0.030 279.190
0.020 -0.030 252.690
0.030 -0.030 245.490
0.040 -0.030 236.960
0.050 -0.030 227.220
0.050 -0.020 231.790
0.040 -0.020 243.570
0.030 -0.020 253.740
0.020 -0.020 273.670
0.010 -0.020 295.620
0.000 -0.020 304.890
-0.010 -0.020 322.470
-0.020 -0.020 340.090
-0.030 -0.020 372.950
-0.040 -0.020 413.190
-0.050 -0.020 446.700
-0.050 -0.010 433.280
-0.040 -0.010 409.640
-0.030 -0.010 391.600
-0.020 -0.010 370.170
-0.010 -0.010 328.910
0.000 -0.010 309.190
0.010 -0.010 287.020
0.020 -0.010 269.260
0.030 -0.010 248.200
0.040 -0.010 235.400
0.050 -0.010 221.930
0.050 0.000 238.380
0.040 0.000 250.260
0.030 0.000 266.330
0.020 0.000 282.310
0.010 0.000 290.130
0.000 0.000 308.350
-0.010 0.000 335.280
-0.020 0.000 362.480
-0.030 0.000 397.090
-0.040 0.000 404.840
-0.050 0.000 446.110
-0.050 0.010 510.250
-0.040 0.010 459.940
-0.030 0.010 423.750
-0.020 0.010 367.590
-0.010 0.010 367.600
0.000 0.010 336.650
0.010 0.010 308.700
0.020 0.010 291.180
0.030 0.010 261.240
0.040 0.010 248.200
0.050 0.010 238.090
0.050 0.020 248.120
0.040 0.020 258.080
0.030 0.020 275.500
0.020 0.020 296.840
0.010 0.020 325.990
0.000 0.020 347.430
-0.010 0.020 363.190
-0.020 0.020 384.220
-0.030 0.020 399.690
-0.040 0.020 440.600
-0.050 0.020 497.000
-0.050 0.030 532.820
-0.040 0.030 454.410
-0.030 0.030 438.470
-0.020 0.030 411.400
-0.010 0.030 373.260
0.000 0.030 337.550
0.010 0.030 299.570
0.020 0.030 296.330
0.030 0.030 274.790
0.040 0.030 268.710
0.050 0.030 254.770
0.050 0.040 252.200
0.040 0.040 265.640
0.030 0.040 281.770
0.020 0.040 321.020
0.010 0.040 328.540
0.000 0.040 352.540
-0.010 0.040 365.140
-0.020 0.040 402.690
-0.030 0.040 446.500
-0.040 0.040 462.880
-0.050 0.040 490.200
-0.050 0.050 526.470
-0.040 0.050 491.380
-0.030 0.050 477.660
-0.020 0.050 455.520
-0.010 0.050 399.990
0.000 0.050 364.790
0.010 0.050 332.840
0.020 0.050 322.540
0.030 0.050 302.900
0.040 0.050 274.430
0.050 0.050 271.640
