-0.090 -0.090 2011.080 2042.910 1959.410 1938.190 1914.930 1954.070 1892.210 1875.860 1826.070 1773.870 1836.480 1867.510
-0.060 -0.090 1793.630 1733.350 1676.070 1696.380 1672.630 1787.150 1686.840 1685.990 1677.460 1575.350 1588.890 1682.970
-0.030 -0.090 1400.310 1309.670 1245.430 1277.790 1292.020 1305.940 1306.550 1320.380 1276.530 1187.140 1189.410 1267.580
0.000 -0.090 990.220 958.710 879.990 952.100 942.390 977.320 969.300 965.580 934.080 844.260 884.710 931.650
0.030 -0.090 736.590 710.040 708.390 692.000 701.570 756.320 692.980 694.320 702.100 668.140 670.080 672.670
0.060 -0.090 618.660 559.930 568.890 540.680 579.310 584.350 569.060 570.040 563.450 525.500 508.410 529.320
0.090 -0.090 512.430 487.930 455.810 444.550 489.370 457.000 465.670 468.870 449.670 423.810 450.760 442.350
0.090 -0.060 566.730 570.570 548.730 512.590 558.020 556.020 560.010 538.540 526.950 507.370 512.630 518.770
0.060 -0.060 715.590 668.960 676.180 627.910 665.990 708.370 706.980 663.020 654.550 625.730 636.780 644.240
0.030 -0.060 909.460 873.130 834.480 813.700 808.350 861.340 904.550 855.910 836.830 801.370 788.110 803.890
0.000 -0.060 1186.390 1137.220 1087.890 1036.660 1134.380 1185.930 1169.000 1133.320 1097.180 1100.840 1064.540 1063.940
-0.030 -0.060 1655.890 1550.520 1513.640 1519.740 1539.700 1640.110 1577.240 1548.470 1540.850 1499.590 1449.730 1509.040
-0.060 -0.060 2075.450 2043.720 1963.790 1908.510 2041.190 2025.360 1988.510 1908.030 1938.760 1966.610 1893.130 1880.310
-0.090 -0.060 2222.480 2212.620 2148.320 2140.550 2120.990 2026.020 2011.660 1962.980 1934.730 1985.730 1979.940 1941.110
-0.090 -0.030 2290.500 2292.590 2313.050 2235.190 2222.630 2107.090 2061.330 2056.070 1951.330 2031.890 2087.920 2050.130
-0.060 -0.030 2392.220 2357.660 2380.450 2298.840 2312.820 2337.730 2316.890 2286.500 2262.520 2170.210 2192.380 2252.590
-0.030 -0.030 2029.570 1962.510 1994.700 1872.790 2005.070 2005.160 2016.990 2004.080 2009.970 1921.250 1833.950 1905.640
0.000 -0.030 1525.380 1488.400 1448.700 1414.360 1468.800 1544.760 1542.350 1533.890 1499.930 1432.550 1398.670 1495.040
0.030 -0.030 1138.140 1094.840 1066.430 1020.010 1103.970 1120.080 1123.990 1138.190 1122.060 1017.000 1027.890 1057.070
0.060 -0.030 905.010 828.410 827.520 826.540 870.740 843.760 873.850 831.340 861.400 784.000 806.360 803.800
0.090 -0.030 691.880 646.260 667.190 656.600 672.630 690.740 655.010 635.550 670.400 601.180 613.850 665.800
0.090 0.000 787.940 783.370 773.030 765.680 797.470 790.830 773.530 781.070 812.540 745.950 731.940 781.490
0.060 0.000 1057.390 1021.590 970.250 987.280 1029.970 1019.840 996.120 1001.030 1024.960 945.760 956.640 1017.040
0.030 0.000 1371.950 1302.770 1309.040 1246.780 1335.530 1354.630 1342.270 1319.660 1309.070 1204.430 1286.790 1272.760
0.000 0.000 1869.220 1746.640 1767.660 1637.950 1777.090 1791.000 1767.000 1771.280 1722.940 1654.610 1744.190 1669.030
-0.030 0.000 2438.480 2345.210 2266.400 2128.020 2278.620 2328.470 2352.970 2332.680 2243.260 2109.130 2257.610 2305.830
-0.060 0.000 2661.980 2660.750 2576.040 2556.830 2569.090 2496.830 2485.130 2458.500 2455.000 2428.120 2454.120 2508.970
-0.090 0.000 2335.120 2367.450 2302.130 2337.540 2274.140 2118.960 2084.280 2025.400 2044.860 2082.120 2159.870 2055.760
-0.090 0.030 2262.100 2253.210 2289.840 2352.620 2168.050 2069.030 1977.590 2041.010 1906.780 2086.060 2100.050 1977.340
-0.060 0.030 2769.650 2784.120 2750.660 2721.140 2699.270 2597.900 2593.010 2541.300 2496.480 2589.810 2609.430 2528.020
-0.030 0.030 2722.340 2723.370 2631.400 2539.640 2632.740 2720.430 2617.740 2672.280 2684.040 2605.760 2607.360 2604.210
0.000 0.030 2282.260 2254.020 2150.520 2082.680 2153.250 2225.620 2201.850 2264.160 2237.460 2147.750 2161.910 2240.610
0.030 0.030 1752.600 1659.550 1660.820 1585.200 1730.220 1695.200 1684.150 1709.420 1674.880 1617.450 1591.120 1646.590
0.060 0.030 1353.410 1290.840 1237.880 1229.630 1260.950 1331.860 1297.820 1329.080 1266.910 1207.000 1218.680 1298.140
0.090 0.030 1036.410 975.570 953.560 945.290 994.220 990.060 963.550 1008.980 985.380 925.650 894.520 990.040
0.090 0.060 1192.410 1146.240 1098.880 1095.440 1191.080 1147.990 1122.920 1205.410 1106.910 1114.460 1094.390 1154.380
0.060 0.060 1557.490 1520.310 1491.360 1483.560 1567.510 1571.810 1519.010 1527.910 1532.290 1455.110 1431.910 1505.270
0.030 0.060 2054.410 1960.490 1906.340 1863.360 2045.920 2031.510 1981.110 2010.610 2037.850 1877.380 1876.570 1967.690
0.000 0.060 2581.670 2440.640 2468.870 2431.670 2568.790 2555.220 2585.020 2528.100 2553.900 2450.990 2459.120 2437.370
-0.030 0.060 2963.590 2874.000 2909.370 2874.830 2918.570 2924.270 2877.940 2834.400 2849.290 2814.810 2802.150 2841.680
-0.060 0.060 2877.650 2842.280 2839.160 2760.590 2772.420 2727.990 2612.620 2606.580 2528.720 2629.310 2647.920 2564.610
-0.090 0.060 2209.210 2311.390 2259.530 2229.340 2064.290 2024.000 1916.310 1947.630 1865.940 2017.240 1972.790 1906.150
